CASTOM track file / LorettOrbital 0.0.4
StationName: r8sTest
Station Position: 37.3325° 55.6442° 0.159km
Satellite: NOAA 18
Start date & time: 2022-07-09   09:30:29 UTC
Orbit: 88307
Time (UTC)   Azimuth (deg)   Elevation (deg)

09:30:29   345.24   30.00
09:30:30   345.01   30.13
09:30:31   344.78   30.27
09:30:32   344.55   30.40
09:30:33   344.31   30.53
09:30:34   344.08   30.67
09:30:35   343.84   30.80
09:30:36   343.60   30.93
09:30:37   343.35   31.07
09:30:38   343.11   31.20
09:30:39   342.86   31.34
09:30:40   342.61   31.47
09:30:41   342.36   31.60
09:30:42   342.11   31.74
09:30:43   341.85   31.87
09:30:44   341.59   32.00
09:30:45   341.33   32.14
09:30:46   341.07   32.27
09:30:47   340.81   32.40
09:30:48   340.54   32.54
09:30:49   340.27   32.67
09:30:50   340.00   32.80
09:30:51   339.73   32.93
09:30:52   339.45   33.07
09:30:53   339.17   33.20
09:30:54   338.90   33.33
09:30:55   338.61   33.46
09:30:56   338.33   33.59
09:30:57   338.04   33.73
09:30:58   337.75   33.86
09:30:59   337.46   33.99
09:31:00   337.17   34.12
09:31:01   336.87   34.25
09:31:02   336.57   34.38
09:31:03   336.27   34.51
09:31:04   335.97   34.64
09:31:05   335.66   34.77
09:31:06   335.35   34.89
09:31:07   335.04   35.02
09:31:08   334.73   35.15
09:31:09   334.41   35.28
09:31:10   334.10   35.40
09:31:11   333.78   35.53
09:31:12   333.45   35.65
09:31:13   333.13   35.78
09:31:14   332.80   35.90
09:31:15   332.47   36.03
09:31:16   332.13   36.15
09:31:17   331.80   36.27
09:31:18   331.46   36.39
09:31:19   331.12   36.51
09:31:20   330.78   36.63
09:31:21   330.43   36.75
09:31:22   330.08   36.87
09:31:23   329.73   36.99
09:31:24   329.38   37.11
09:31:25   329.02   37.22
09:31:26   328.66   37.34
09:31:27   328.30   37.45
09:31:28   327.94   37.57
09:31:29   327.57   37.68
09:31:30   327.20   37.79
09:31:31   326.83   37.90
09:31:32   326.46   38.01
09:31:33   326.08   38.12
09:31:34   325.70   38.23
09:31:35   325.32   38.33
09:31:36   324.94   38.44
09:31:37   324.55   38.54
09:31:38   324.16   38.64
09:31:39   323.77   38.74
09:31:40   323.38   38.84
09:31:41   322.98   38.94
09:31:42   322.58   39.04
09:31:43   322.18   39.14
09:31:44   321.78   39.23
09:31:45   321.37   39.33
09:31:46   320.96   39.42
09:31:47   320.55   39.51
09:31:48   320.14   39.60
09:31:49   319.72   39.69
09:31:50   319.31   39.77
09:31:51   318.89   39.86
09:31:52   318.47   39.94
09:31:53   318.04   40.02
09:31:54   317.62   40.10
09:31:55   317.19   40.18
09:31:56   316.76   40.26
09:31:57   316.32   40.33
09:31:58   315.89   40.41
09:31:59   315.45   40.48
09:32:00   315.02   40.55
09:32:01   314.58   40.62
09:32:02   314.13   40.68
09:32:03   313.69   40.75
09:32:04   313.25   40.81
09:32:05   312.80   40.87
09:32:06   312.35   40.93
09:32:07   311.90   40.99
09:32:08   311.45   41.04
09:32:09   310.99   41.09
09:32:10   310.54   41.15
09:32:11   310.08   41.19
09:32:12   309.62   41.24
09:32:13   309.16   41.29
09:32:14   308.70   41.33
09:32:15   308.24   41.37
09:32:16   307.78   41.41
09:32:17   307.32   41.45
09:32:18   306.85   41.48
09:32:19   306.38   41.51
09:32:20   305.92   41.54
09:32:21   305.45   41.57
09:32:22   304.98   41.60
09:32:23   304.51   41.62
09:32:24   304.04   41.64
09:32:25   303.57   41.66
09:32:26   303.10   41.68
09:32:27   302.63   41.70
09:32:28   302.16   41.71
09:32:29   301.68   41.72
09:32:30   301.21   41.73
09:32:31   300.74   41.74
09:32:32   300.26   41.74
09:32:33   299.79   41.74
09:32:34   299.32   41.74
09:32:35   298.84   41.74
09:32:36   298.37   41.73
09:32:37   297.90   41.73
09:32:38   297.43   41.72
09:32:39   296.95   41.71
09:32:40   296.48   41.69
09:32:41   296.01   41.68
09:32:42   295.54   41.66
09:32:43   295.07   41.64
09:32:44   294.60   41.62
09:32:45   294.13   41.59
09:32:46   293.66   41.57
09:32:47   293.19   41.54
09:32:48   292.72   41.51
09:32:49   292.26   41.47
09:32:50   291.79   41.44
09:32:51   291.33   41.40
09:32:52   290.86   41.36
09:32:53   290.40   41.32
09:32:54   289.94   41.28
09:32:55   289.48   41.23
09:32:56   289.02   41.19
09:32:57   288.57   41.14
09:32:58   288.11   41.08
09:32:59   287.66   41.03
09:33:00   287.20   40.98
09:33:01   286.75   40.92
09:33:02   286.30   40.86
09:33:03   285.85   40.80
09:33:04   285.41   40.73
09:33:05   284.96   40.67
09:33:06   284.52   40.60
09:33:07   284.08   40.53
09:33:08   283.64   40.46
09:33:09   283.20   40.39
09:33:10   282.77   40.32
09:33:11   282.34   40.24
09:33:12   281.91   40.16
09:33:13   281.48   40.09
09:33:14   281.05   40.01
09:33:15   280.63   39.92
09:33:16   280.20   39.84
09:33:17   279.78   39.75
09:33:18   279.36   39.67
09:33:19   278.95   39.58
09:33:20   278.53   39.49
09:33:21   278.12   39.40
09:33:22   277.71   39.30
09:33:23   277.31   39.21
09:33:24   276.90   39.11
09:33:25   276.50   39.02
09:33:26   276.10   38.92
09:33:27   275.70   38.82
09:33:28   275.31   38.72
09:33:29   274.92   38.62
09:33:30   274.53   38.51
09:33:31   274.14   38.41
09:33:32   273.75   38.30
09:33:33   273.37   38.20
09:33:34   272.99   38.09
09:33:35   272.61   37.98
09:33:36   272.24   37.87
09:33:37   271.87   37.76
09:33:38   271.50   37.64
09:33:39   271.13   37.53
09:33:40   270.77   37.42
09:33:41   270.40   37.30
09:33:42   270.04   37.19
09:33:43   269.69   37.07
09:33:44   269.33   36.95
09:33:45   268.98   36.83
09:33:46   268.63   36.71
09:33:47   268.28   36.59
09:33:48   267.94   36.47
09:33:49   267.60   36.35
09:33:50   267.26   36.23
09:33:51   266.92   36.11
09:33:52   266.59   35.98
09:33:53   266.26   35.86
09:33:54   265.93   35.73
09:33:55   265.60   35.61
09:33:56   265.28   35.48
09:33:57   264.95   35.35
09:33:58   264.63   35.23
09:33:59   264.32   35.10
09:34:00   264.00   34.97
09:34:01   263.69   34.84
09:34:02   263.38   34.71
09:34:03   263.08   34.58
09:34:04   262.77   34.45
09:34:05   262.47   34.32
09:34:06   262.17   34.19
09:34:07   261.87   34.06
09:34:08   261.58   33.93
09:34:09   261.28   33.80
09:34:10   260.99   33.67
09:34:11   260.71   33.53
09:34:12   260.42   33.40
09:34:13   260.14   33.27
09:34:14   259.86   33.14
09:34:15   259.58   33.00
09:34:16   259.30   32.87
09:34:17   259.03   32.74
09:34:18   258.76   32.60
09:34:19   258.49   32.47
09:34:20   258.22   32.33
09:34:21   257.95   32.20
09:34:22   257.69   32.07
09:34:23   257.43   31.93
09:34:24   257.17   31.80
09:34:25   256.91   31.66
09:34:26   256.66   31.53
09:34:27   256.41   31.39
09:34:28   256.16   31.26
09:34:29   255.91   31.12
09:34:30   255.66   30.99
09:34:31   255.42   30.86
09:34:32   255.18   30.72
09:34:33   254.94   30.59
09:34:34   254.70   30.45
09:34:35   254.46   30.32
09:34:36   254.23   30.18
